Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Developer,"Junior
Intermediate
Senior",ON - York Region,Richmond Hill,Ontario,"Reporting to the Clinic Director, Dr. Mahesan Srivamadevan, this position provides programming support to the practice's electronic medical records (EMR). The position also entails development of API that help the EMR interact with the cardiology specific diagnostics technologies. The student will also liaise and work with other associated cardiology practices - mainly Dr. Roland Sabbagh at the Orleans Cardiopulmonary group in Ottawa.

Projects involving applications for OSCAR (EFORMS) mainly involves Javascript programming.
The more advanced projects involve SQL and Python as well. For instance, we have a long term goal in integrating artificial intelligence in interpretation of diagnostic technologies as well as for decision support.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Connected TV Developer,"Junior
Intermediate
Senior",ON - Toronto,Toronto,Ontario,"Develop native applications on a variety of platforms including Roku, Xbox, PlayStation, Chromecast, Smart TV, and Windows 10.
Work closely with Project Managers, Developers, etc. to understand business requirements.
Work closely with the Creative team to ensure product quality.
Implement applications based on requirements, functional and technical specifications.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Engineering Co-op,"Intermediate
Senior",ON - Waterloo Region,Kitchener,Ontario,"We're looking for someone who can:
Collaborate with the engineering team to develop, test, and deploy software solutions.
Contribute to the design, coding, testing, and debugging of applications.
Work with cutting-edge technologies and modern data stack to solve complex problems in the data management and analytics domain.
Participate in code reviews and collaborate with cross-functional teams to deliver high-quality software.
Learn and adapt to new tools, languages, and platforms.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
MES & Supply Chain Systems Co-op Analyst,"Intermediate
Senior",ON - Toronto,Toronto,Ontario,"You are:
Unafraid to experiment. You are willing to share your ideas. You can see all around that the world is changing. Emerging technologies and next-generation IT excite you -- you're ready to put that passion to work. Customers want more; the average citizen wants more. And you know that in order to make change happen, you need to understand how things work today so you can improve them for tomorrow. You are ready to stretch boundaries -- and yourself.

As an Industry X MES & Supply Chain Systems Co-op, you will have the opportunity to work to reimagine the products our clients make and how they make them.

The work:

As part of the MES Team, you will support full life cycle software development and integration projects for our clients. To be successful, you must have exceptional technical, analytical, and business skills.

Successful candidates can look forward to:
Assessing complex technical environments and define requirements for integration of new solutions
Rolling up your sleeves and coming up with good ideas on how to improve business processes and document functional and technical specifications
Joining your teammates to dive into consulting projects, deliver new technologies and unique business solutions to world class clients
Designing and developing solutions using Microsoft .NET technologies, SQL Server, and third party manufacturing applications
Testing and implementing new systems
Working with Industry X professionals on projects that support our clients design, engineering, manufacturing, technology, consulting and operations service areas

The work location for this role can include a mix of working remotely and working onsite with our clients and partners or in our offices and delivery centers to enable delivery and cultivate our client relationships.

Please note that with all of our roles, you should expect some in-person time for collaboration, learning and building relationships with clients, peers, leaders and communities. As an employer, we will be as flexible as possible to support your specific work/life needs.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Automation Controls Co-op Analyst,"Intermediate
Senior",ON - Toronto,Toronto,Ontario,"You are:
Unafraid to experiment. You are willing to share your ideas. You can see all around that the world is changing. Emerging technologies and next-generation IT excite you -- you're ready to put that passion to work. Customers want more; the average citizen wants more. And you know that in order to make change happen, you need to understand how things work today so you can improve them for tomorrow. You are ready to stretch boundaries -- and yourself.

As an Industry X Automation Controls Co-op, you will have the opportunity to work to reimagine the products our clients make and how they make them.

The work:

As part of our Controls Team, you will have the opportunity to develop a broad range of skills. We hire people with strong technical and business abilities and help them to develop the knowledge and skills necessary to support the entire project lifecycle.

Successful candidates can look forward to:
· Working directly with clients to gather requirements, participating in the design process, and supporting the development, testing and implementation phases of our projects
· Rolling up your sleeves and coming up with good ideas on how to improve business processes
· Joining your teammates to dive into consulting projects, deliver new technologies and unique business solutions to world class clients
· Working with Industry X professionals on projects that support our clients design, engineering, manufacturing, technology, consulting and operations service areas

The work location for this role can include a mix of working remotely and working onsite with our clients and partners or in our offices and delivery centers to enable delivery and cultivate our client relationships.

Please note that with all of our roles, you should expect some in-person time for collaboration, learning and building relationships with clients, peers, leaders and communities. As an employer, we will be as flexible as possible to support your specific work/life needs.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Research Developer,"Intermediate
Senior",Western Canada,Calgary,Alberta,"- Design state of the art algorithms to solve challenging problems in drug discovery.
- Implement, analyze, and optimize algorithms on a daily basis.
- Interface with our product team to productize the algorithms.",
